;name;is_free;about_the_game;supported_languages;developers;publishers;price_overview;categories;genres;achievements;release_date;controller_support;dlc;reviews;recommendations
73;Recession;FALSE;Recession is a 4v1 cop vs. robbers multiplayer shooter. Four robbers attempt to rob a central location full of money bags while a single cop with heavy armor and weapons tries to take all 4 down before they can escape with the cash.   In Recession, the police force has access to heavy military-grade weaponry and armor. To cut costs, only one officer is sent out to take down groups of criminals.   Meanwhile, the criminals are just trying to make a quick buck, robbing banks, convenience stores, and more.  FEATURES     Fast-paced, four vs. one gameplay    Asymmetrical maps    Low poly, flat-shaded, art style    Unique play-styles for both criminals and police    POLICE: Attack the criminals escaping with money bags using brute force or stealth.    CRIMINALS: Capture and bring the money bags back to the extraction point and defend against the oncoming cop   Character customization   Play solo against bots  PLAY 2 GAME MODES   Play solo offline or online with up to 4 friends. Fight against real players or bots in 2 unique game modes.  ;English       languages with full audio support;Super Strong Games;Super Strong Games;{'currency': 'PLN', 'initial': 719, 'final': 719, 'discount_percent': 0};[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 49, 'description': 'PvP'}, {'id': 36, 'description': 'Online PvP'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 27, 'description': 'Cross-Platform Multiplayer'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 18, 'description': 'Partial Controller Support'}, {'id': 62, 'description': 'Family Sharing'}];[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '70', 'description': 'Early Access'}];TRUE;{'coming_soon': False, 'date': '11 Jul, 2017'};;;;
74;Dragon Souls;TRUE;"    Dragon Souls will allow you to play as a dragon in Reverath, a human realm, after a magical relic has been used to tear the veil between the living and the dead.  Through this tear, you have re-emerged confused, hungry, and ready to reclaim your place in the world.    The denizens of our world have no hope of standing against you alone once you are at full power.  But, you start out with little gold and power, so a barrage of arrows can quickly end you in the beginning.  Use your devastating abilities to destroy their dwellings and collect their gold to increase your power.  The goals are mostly centered around causing mass destruction and mayhem in the human world.  It is a game about playing as a truly terrifying dragon, not lumbering reptiles with wings and one slow/avoidable attack.  You will have several abilities with augmentation and/or utility to add along the way.  All abilities will be made more powerful with the expansion of your dragon's power, as will your survivability.  What will your reign of terror be like?           All dragons love gold - but the root of this love is more than just fascination - it is the source of all your power. As you collect gold your dragon will increase in power, level, and size.  This is your most significant resource and is earned by killing denizens and their dwellings. The cities and the travelers between them must be &quot;liberated&quot; of their burden so you can gain power. To best leverage resource acquisition, you will need to prioritize your targets to maximize your power growth.  Of course, the larger cities will contain more gold, but also much more advanced defenses.         Throughout the world, there are runes and relics scattered about.  These items are key to the reclaiming the your place in the world of Reverath.    Relics Once collected, relics can be used to unleash even more devastation.   Each relic grants a special ability which can be used to greatly enhance you or unleash devastating power.  Only 1 relic will be available and only on certain levels … for now.   Runes The runes you can collect are augmentations to your stats or abilities.  These dragon runes are left over remnants of a time long lost, when dragons ruled the land as gods.  Collecting these runes can make your conquest easier through increasing your power, utility, or survivability.      We have many ideas on how this game could evolve into a much greater game, but first we want to get player feedback and get the initial concept published. Here are some of our ideas. Please make sure to let us know how you feel about each of them. We invite the feedback.   Player vs. Player  As we had to step back from our original plans of player vs. player, this is the first major enhancement we intend to add to the game.  We plan to have four dragon races for play, as introduced in the planned campaigns.   Factions  Each dragon would start in a particular faction. The denizens of that faction will be friendly, so dragons would need to travel to other factions to gain gold. Possibly introduce a partnership with denizens for gathering by launching raiding parties against other dragon dens.   Team Play  Solo play has it's problems. Some form of team play is planned for the future. This may be accomplished solely through factions, maybe more.   Questing  A good quest line can build an amazing story. We could see Elder Dragons doling out quests with deep lore and story about Reverath.   Denizen Riders  What better way to have new abilities introduced than by dragon riders there to help? Archers, mages, who knows…";English       languages with full audio support;Avant Games;Avant Games;;[{'id': 2, 'description': 'Single-player'}, {'id': 15, 'description': 'Stats'}];[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '37', 'description': 'Free To Play'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}, {'id': '70', 'description': 'Early Access'}];TRUE;{'coming_soon': False, 'date': '1 Oct, 2020'};;;;
75;GoVenture MICRO BUSINESS;FALSE;Do you want to be the next business tycoon, corporate CEO, or social entrepreneur?  Well, it all starts right here. GoVenture Micro Business puts you in the role of the owner of a mobile business cart, where you must decide what products to sell and where and when to sell them in order to maximize profits and keep your customers happy.  Experience everything you need to know about the basics of starting and running a business.  This is your first step to being your own boss.     Easy to play but challenging, fun, and educational for all ages.   Watch the video to find out more.      Includes Steam Trading Cards, Badges, Emoticons, Profile Backgrounds    PC and MAC     Single Player - competing against 2 computer players    6 Product Types:  Ice Cream, Popcorn, Hot Dogs, Clothing, Jewelry, Electronics    Start and run any number of businesses (each business is a separate simulation that you can play)    Save and resume your progress at any time    Internet is NOT required to play    It's fun to play plus you learn about business and entrepreneurship    Watch the video to find out more. ;English       languages with full audio support;MediaSpark;MediaSpark;{'currency': 'PLN', 'initial': 899, 'final': 899, 'discount_percent': 0};[{'id': 2, 'description': 'Single-player'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 62, 'description': 'Family Sharing'}];[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}];TRUE;{'coming_soon': False, 'date': '9 Aug, 2016'};;;;
76;Unknown Fate;FALSE;         Set off on an amazing journey through Unknown Fate, a strongly story-driven first-person adventure with many puzzles to solve and enemies to beat. Become Richard, who suddenly passes seamlessly from the real world into a surreal universe. You’ll encounter strange characters, unfamiliar artifacts and scenes resembling Richard’s former life, of which he has lost all memory. Yet, he knows that this is not where he is supposed to be. The world he has come to inhabit is strange and distant. He feels the urge to find out more about this surreal universe and the creatures inhabiting it, in order to find a way out – out and back to his real self, his real life that he knows he has yet to fully recall.    Engulfed in mystery, you take cautious steps deep into the unknown, only to have your mind swept away by yet more questions, nibbling at your grasp of what you think is real and true – your certainties will start to crumble.    With no way back and a strong urge for answers beating in your temples, you push on, striving to get a grip on the odd difficulties surrounding you, eagerly awaiting the moment your mind will become untangled when the thread of your journey finally unravels all the way. But there is some way yet to go…      “Soon you will have all the answers to your questions. But you still have so much to see…”      GAME FEATURES    Story-Driven Adventure: Explore a strange and surreal world as Richard seeks to find his way back to reality    Mind-Twisting Puzzles: Manipulate objects to uncover clues and find a way through    Designed for VR and PC Alike: Experience reality and unreality in a truly immersive fashion    Immersive Eye Tracking: Chart a trail to the answers you seek via object highlighting and environmental event triggers in non-VR mode at launch, with Tobii support also coming for VR    Full Controller Support: Tracked controllers, gamepad, and keyboard/mouse are all supported   ;English   , French, Italian, German, Spanish - Spain, Russian    languages with full audio support;Marslit Games;Fulqrum Publishing;{'currency': 'PLN', 'initial': 4599, 'final': 4599, 'discount_percent': 0};[{'id': 2, 'description': 'Single-player'}, {'id': 28, 'description': 'Full controller support'}, {'id': 52, 'description': 'Tracked Controller Support'}, {'id': 53, 'description': 'VR Supported'}, {'id': 43, 'description': 'Remote Play on TV'}, {'id': 62, 'description': 'Family Sharing'}];[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}];TRUE;{'coming_soon': False, 'date': '6 Sep, 2018'};full;;;
77;Cogs and Cowboys;FALSE;The wild west just got a lot more wild.  Fight off steam-powered machines literally bent on destroying you. Use your arsenal of modified western weapons to fight back, using abilities such as shields and slow motion to get the upper hand. Use Room-Scale VR to duck and dive behind cover (you may even find yourself rolling and army crawling around to avoid fire). The weapons at your disposal range from scoped revolver snipers to gatling rifles. Current Progress   6 varied weapons - Double Barrel Sawed Off Shotgun, Lever Action Rifle, Gatling Rifle, Scoped Revolver Sniper Rifle, Heavy Pistol, Rapid Fire Pistol   2 Abilities - Wrist Shield (expands when activated, recharges after taking too much damage), Slow Motion (Dodge enemy fire and line up your shots)   2 Enemies - Small Grunt, Large Golem   1 Location - Town Main Street   Work in Progress   More Weapons - At least 3 more weapons, 1 pistol and two shotguns, as well as throwables like dynamite, knives, and tomahawks   More Locations - Moving train (fight off steam-powered bandits), Large cage dome (captured by the machine leader, survive as long as you can. May have VS multiplayer later as well)   More Enemies - New enemies for each location   More Abilities - Based on locations   Revision of Current Assets - Making the weapons and scenery look more steampunk   Development/Community   Development is sometimes streamed at   ;English       languages with full audio support;MostWanted Game Development;MostWanted Game Development;{'currency': 'PLN', 'initial': 1099, 'final': 1099, 'discount_percent': 0};[{'id': 2, 'description': 'Single-player'}, {'id': 52, 'description': 'Tracked Controller Support'}, {'id': 54, 'description': 'VR Only'}, {'id': 62, 'description': 'Family Sharing'}];[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '70', 'description': 'Early Access'}];TRUE;{'coming_soon': False, 'date': '10 Aug, 2016'};;;;
78;The Hex;FALSE;"     In a creaky old tavern, in a forgotten corner of the video game universe, a storm is raging. The barkeep gets a patchy phone call. It's hard to tell what the caller is saying, but this much is clear: someone in The Six Pint Inn is planning a murder.  There are six patrons; all of them are video game protagonists trying to escape their past... But The Six Pint Inn has a way of bringing back old memories. Each flashback plays out in an entirely different genre, sometimes blending multiple. By exploring these memories you may discover the identity of the murderer... or you may learn much darker secrets. In The Hex you will...     Control the six patrons and explore The Six Pint Inn    Delve into the memories of these cast-aside game protagonists to learn the truth of their past    Learn the identity of the would-be murderer... as well as the victim   The Hex takes roughly 6 hours to complete on the first playthrough.     ";English   , French, Spanish - Spain, Turkish, Italian, German, Russian, Polish, Portuguese - Brazil, Dutch, Japanese, Simplified Chinese    languages with full audio support;Daniel Mullins Games;Daniel Mullins Games;{'currency': 'PLN', 'initial': 3599, 'final': 3599, 'discount_percent': 0};[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 23, 'description': 'Steam Cloud'}, {'id': 62, 'description': 'Family Sharing'}];[{'id': '23', 'description': 'Indie'}];TRUE;{'coming_soon': False, 'date': '16 Oct, 2018'};;[962920, 962921, 962922, 962923, 962924, 962925];“A game that defies me to tell you anything about it, not that I’m convinced you’d believe me if I did.”<br>Rock Paper Shotgun<br><br>“I’m just gonna cut to the chase: The Hex is this year’s Frog Fractions, Undertale, or—perhaps most aptly, given that it’s from the same creator—Pony Island.”<br>Kotaku<br><br>“The Hex is a poignant, witty, cleverly written adventure spanning six protagonists and six very different - but smartly cohesive - stories.”<br>Jim Sterling<br>;{'total': 4389}
79;Stacks On Stacks (On Stacks);FALSE; Stacks On Stacks (On Stacks)  is a zany 3D tower builder. Play as the Master Stacker, Rockit, who must use her psychic helmet to clean up the colorful bricks falling all over her madcap world.    BUILD stable towers by executing architectural feats of balancing.   INCORPORATE mixed-up materials into your towers: works of art, aquariums, magnets, and more.   DEFEND your towers against invading ghosts, a fireball-breathing dragon, and other outlandish hazards.   KNOCK your finished towers back down with a wrecking ball.    Ways to Play:    Story mode: 36 stages featuring twists on stacking such as constructing on quicksand or a giant spring scale.   Co-op: Team up to complete the game with a partner.   Versus: best your bud with better balance with split-screen local multiplayer.   Twitch mode: optional Twitch integration lets your viewers vote to influence the game.  ;English   , French   , Italian   , German   , Spanish - Spain   , Japanese   , Korean   , Russian   , Simplified Chinese   , Traditional Chinese       languages with full audio support;Herringbone Games;Herringbone Games;{'currency': 'PLN', 'initial': 4699, 'final': 4699, 'discount_percent': 0};[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 49, 'description': 'PvP'}, {'id': 37, 'description': 'Shared/Split Screen PvP'}, {'id': 9, 'description': 'Co-op'}, {'id': 39, 'description': 'Shared/Split Screen Co-op'}, {'id': 24, 'description': 'Shared/Split Screen'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 23, 'description': 'Steam Cloud'}, {'id': 25, 'description': 'Steam Leaderboards'}, {'id': 43, 'description': 'Remote Play on TV'}, {'id': 44, 'description': 'Remote Play Together'}, {'id': 62, 'description': 'Family Sharing'}];[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}];TRUE;{'coming_soon': False, 'date': '1 Apr, 2020'};full;;;
80;The Fall Part 2: Unbound;FALSE;"Sequel to the 2014 Story of the Year award winning &quot;The Fall&quot;.   You are an AI that has broken free of your shackles. Now, a human “User” from across the global network has attacked and infected you with an [ERROR: REDACTED]. Make a new rule: Save Yourself. Hunt them. End them. Do anything. Use anyone. Become Unbound.  During your journey, you'll find and invade three very different robots and attempt to enlist their help. You might be unbound, but your hosts are not. Will you work within their boundaries? Or will you smash them? Do you even have a choice?  Warning: The Fall Part 2 will break your protocols.  The Fall Part 2: Unbound features:   Puzzles that you've never experienced before: Based on the personal boundaries of your hosts, The Fall's challenges will put you in perspectives that you haven't taken in a video game.   Exploration that matters: Understanding your hosts and their environments isn't an afterthought - it's how you learn to solve puzzles and progress.   Exciting action: With two completely new combat mechanics, The Fall Part 2 balances fighting and puzzles so that each moment feels fresh. It also contains an easy mode, for players who are only interested in puzzle solving and story.   Over three times the length of Part 1: With four playable characters, thousands of lines of fully voice-acted dialogue, four times as many environments, and over a dozen fully-animated characters, the best of The Fall has been expanded and refined.   A captivating story: Five years in the making, The Fall's already award-winning story enters a new chapter that continues Arid's journey of self discovery.  Experience a dystopian universe through the lens of an AI struggling to create and maintain her own rules on her own terms. A unique story about personal boundaries, relationships, ethics, and ideology awaits you. The Fall is made for players who have been waiting for the conceptual underpinning of games to catch up with their technological artistry.  ";English   , French, Italian, German, Spanish - Spain    languages with full audio support;Over The Moon;Over The Moon;{'currency': 'PLN', 'initial': 6099, 'final': 6099, 'discount_percent': 0};[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 23, 'description': 'Steam Cloud'}, {'id': 43, 'description': 'Remote Play on TV'}, {'id': 62, 'description': 'Family Sharing'}];[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}];TRUE;{'coming_soon': False, 'date': '12 Feb, 2018'};full;;“Outside of a riveting story, puzzle solving is, by far, the game’s strongest quality...”<br>85 – Nintendo World Report<br><br>“This combination of game mechanics with plot makes The Fall Part 2: Unbound a masterclass in video game storytelling.”<br>90 – COG Connected<br><br>“A.R.I.D’s dark, dystopian Odyssey continues and the way the second chapter weaves altering perspectives in the solutions of its puzzles, is nothing short of masterful.”<br>92 – RageQuit<br>;{'total': 616}
81;Executive Assault 2;FALSE;"Prepare to embark on an epic journey into the depths of space with &quot;Executive Assault 2,&quot; a fusion of real-time strategy (RTS) and first-person shooter (FPS) gameplay. Assemble your fleet of spaceships, deploy formidable tanks, harness the power of lasers, and command an army of robots in your quest for dominance in the cosmos. Brace yourself for intense battles and exhilarating base-building on asteroids.  Play Executive Assault 2 in multiple ways including:         Build your base on an asteroid or deploy outposts in space to claim sectors, mine resources, and boost your economy. Sell goods to traders to get promoted and gain access to new technologies. Manage base power, design units to adapt to the situation, and upgrade defence grids. Command fleets of ships or armies of robots and mechs, but be careful - rival corporations and rebellious protestors will do all they can to thwart your aspirations of intergalactic domination!           Fed up of watching the action from above and want to dive in and blow stuff up yourself? Seamlessly switch from RTS to FPS mode for manic fast-paced combat; whether that’s playing as a robot defending your base or in the cockpit of a starship under your control.           Help your friends run their company by immersing yourself in a pure first-person experience as their Executron! Capture outposts, take starfighters out for a spin, board and pilot massive starships, control space fleets or armies of troops, invade asteroid bases with tanks and mechs, explore derelict stations and find loot you can bring back to the base, infiltrate enemy structures and disable them and more! RTS Gameplay Features:    Play as one of three distinct factions.    Build an asteroid base with over 70 different structures.    Establish command outposts and expand with buildings to control sectors.    Construct and control customizable starships, and engage in tactical battles on a grand scale.    Multiplayer mode supporting up to 4 CEO companies.    Engage with up to 3 AI-driven CEOs.    Manufacture robots and mechs to help guard your base in invade others.    Mine asteroids for valuable resources with each faction having their own unique method.    Manufacture and trade goods to earn promotions and unlock new tech.    Prioritize power management within your installations.    Delve into a large tech tree.    Enhance station turrets for optimal defence.    Launch invasions on space stations via dropships or gateways.    Witness the destruction of entire star systems.    Delve in espionage and resource theft.    Craft your galaxy with the map editor.    Personalize your company with a custom logo and determine your goods.   First-person Executron Gameplay Features    Play under an AI controlled CEO or hop into a friend's company for a pure FPS experience.    Help them get promoted to unlock more powerful tech.    Get into tanks, mechs, space fighters or even board starships to command them.    Capture outposts to gain their special abilities by fighting off Infestors and other enemies.    Explore the mysteries of various star systems and raid derelict outposts for resources and upgrades.    Sprint around your base, defending against invasions and interacting with buttons and panels.    Raid enemy bases and steal their tech or cause havoc by hacking into their systems.  ";English       languages with full audio support;Hesketh Studios Ltd;Hesketh Studios Ltd;{'currency': 'PLN', 'initial': 8999, 'final': 8999, 'discount_percent': 0};[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 49, 'description': 'PvP'}, {'id': 36, 'description': 'Online PvP'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 27, 'description': 'Cross-Platform Multiplayer'}, {'id': 62, 'description': 'Family Sharing'}];[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}];TRUE;{'coming_soon': False, 'date': '18 Oct, 2023'};;[2682590];;{'total': 1569}
82;Little Red Lie;FALSE; OVERVIEW   Little Red Lie is a narrative-focused, interactive fiction experience that reduces the traditional nine-verb adventure game structure down to a single, context-dependent interaction: LIE.  Gameplay consists of navigating conversations and environments which will require you to lie to both others and yourself in order to secure your financial and personal future.  If you enjoy realistic and dramatic stories in a contemporary setting which deal with weighty issues of family, society and politics, Little Red Lie will offer a unique perspective into the subtle (and not-so-subtle) deceptions that shape our daily lives.   STORY THEME: ARE YOU MORE AFRAID OF POVERTY THAN DEATH?   If you grew up in the 1980s and 1990s, you may have been shielded from the full weight of existence by a happy and prosperous middle-class family, as well as access to an education which seemed to imply that your own life would be similarly rich with possibility.  How is that going?   LIE: THE ONLY VERB THAT MATTERS.   Explore the contrasting characters and stories of Sarah Stone and Arthur Fox through a wide variety of dishonest interactions. And literally nothing else.   SETTING: SCARS RUN DEEP   Realistically told, and in a realistic place: The streets and landmarks of Scarborough, Toronto's most notorious, misunderstood and fiercely proud suburb.   TWO CHARACTERS, ONE FATE   Living in a common time and place, Little Red Lie alternates you through the perspectives of two individuals who never meet, but who are deeply connected nevertheless. Explore the dynamics of their lives, relationships and decisions as both of them come face-to-face with the consequences of who they are and where they come from.;English;WZOGI;WZOGI;{'currency': 'PLN', 'initial': 3599, 'final': 3599, 'discount_percent': 0};[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 18, 'description': 'Partial Controller Support'}, {'id': 62, 'description': 'Family Sharing'}];[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}];TRUE;{'coming_soon': False, 'date': '7 Jul, 2017'};;;;{'total': 105}
83;Long Gone Days;FALSE; Long Gone Days is a JRPG set in the real world about human connection during war, focusing on civilians, language barriers, and borders.            Follow  Rourke , young man trained from birth to be a sniper for  The Core — a subterranean paramilitary state.    On his first mission, he is sent to the surface under orders of great significance. Motivated to finally be able to show the fruits of his training, he carries out his first orders to perfection only to find out that  The Core was far from being the noble organization he thought he knew .               A Nuanced Look at War:  Experience the clash of modern conflict against civilian life through the contrast of intense RPG combat and slower, slice-of-life gameplay.     Communication is Key:  As Long Gone Days is set in the real world, you'll encounter several language barriers. Recruit interpreters in order to communicate with others and forge bonds beyond borders.     Strength in Others:  Meet a colorful cast of potential comrades. Grow relationships through your words and actions as you live and fight together.      Keep Morale High:  Choose dialogue options wisely to boost morale in battle. Every character has distinct personality traits and motivations.     Strategic RPG Combat:   Spot and take down targets from afar in Sniper Mode, or engage up-close in front-view, turn-based combat. Target specific parts of an enemy’s body for a tactical advantage.     No Random Encounters:  Every battle is hand-crafted and directly related to the plot. Your choices in battle will shape your party's lives, and the world around them.            ;English, French, German, Spanish - Spain, Portuguese - Brazil, Russian, Spanish - Latin America, Traditional Chinese, Simplified Chinese, Japanese;This I Dreamt;Serenity Forge;{'currency': 'PLN', 'initial': 11499, 'final': 11499, 'discount_percent': 0};[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 23, 'description': 'Steam Cloud'}, {'id': 62, 'description': 'Family Sharing'}];[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}];TRUE;{'coming_soon': False, 'date': '10 Oct, 2023'};full;[514000, 511220];“Long Gone Days is a genuinely haunting, emotional game that stays with you well after you finish it.”<br>91 – RPGFan<br><br>“With its slick presentation, ominous soundtrack, and dark storytelling creating a solid foundation, Long Gone Days represents a unique and powerful message for players to become enamored with.”<br>8/10 – RPG Site<br><br>“it is a game with a lot of heart that manages to stand out in a wave of RPGs...I am certain that Rourke and the rest of his friends will be talked about for years to come.”<br>80 – Noisy Pixel<br>;{'total': 463}
84;Congo Merc;FALSE;"During the 1960s the newly independent Congo was the scene of constant warfare. Congo Merc puts you in the middle of that fighting with a task force of elite commandos. You conduct breakneck advances into the heart of enemy territory, seize critical objectives and, just as important, return to home base.    Based on the board game by Decision Games, Congo Merc includes everything from hostage rescue to tracking down Cuban cadre. You recruit from a variety of unit types, including jeep-mounted commandos, light armor, sappers, air support, paratroopers and many others.    Once a task force is organized, you maneuver it into the Congo. The map covers the entire country, and when a force enters certain points an event occurs. Events can include anything from UN intervention to ambushes by enemy fighters. Combat is resolved via a quasi-tactical procedure in which both tactical superiority and firepower play their parts.";English;Dreamwalker Games;HexWar Games;{'currency': 'PLN', 'initial': 1799, 'final': 1799, 'discount_percent': 0};[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 62, 'description': 'Family Sharing'}];[{'id': '2', 'description': 'Strategy'}];TRUE;{'coming_soon': False, 'date': '12 Dec, 2016'};;;;
85;Curse;FALSE;CURSE is a point-and-click horror game that throws the player into the world of paranormal investigations. Investigate the infamous Atherton Manor, the site of several deaths and disappearances over the last 100 years. Your mission is to purge the Manor of its occupants and to get out in one piece.  Think you have what it takes to reveal the secrets hidden in the shadows of Atherton Manor?   Game Features:     Story-Driven gameplay: CURSE features a deep story, filled with rich characters and more than a few twists and turns.    Icon Driven point and click gameplay within a 3D world: The Player navigates within the environment by clicking on interactive Icons. The player can also look around the environment in an immersive 3D setting.    Ghost Chase: The denizens of Atherton Manor don't take kindly to visitors and will attack you if provoked. Use the ultraviolet feature on your flashlight to damage the ghosts when they attack.    UV Flashlight: You are equipped with a high-tech flashlight capable of disintegrating entities that would do you harm - also use your flashlight to peer into the mansion's shadowy corners, hallways, and rooms.            What to Expect:   CURSE is a narrative-focused experience. Expect to read lots of notes and dialogue. This game is intended for those who enjoy a fun, spooky, tale that provides a more 'on rails' experience.  Linear Gameplay: CURSE is a linear experience with some light branching that gives players some determination of events. The game is linear at a high level to tell a cohesive story.  Ghost Chase: The ghost chase feature is tense. It's supposed to be tense. The ghosts will arrive at random points within the Manor to attack you. Did we mention that the lights go out when they attack?  Point and Click Navigation: CURSE does NOT allow free movement. We intend to create an experience more like a theme park ride where we control aspects of what you see and don't see. If you give in to this type of storytelling, you should have a rollicking good time. If you prefer actively moving through the game space, CURSE may not be for you.  Jump Scares: Although the game does not rely on jump scares to entertain the player, it does include more than a few.   Horror Elements: The horror of CURSE is geared towards a PG-13 vibe than R or MA ratings. We strive for atmosphere over gore and graphic violence. However, there are adult themes and blood within the game.   Sound Good?   If the above descriptions interest you, then welcome to Atherton Manor!  CURSE provides 2-4 hours of gameplay in most cases. To collect all the achievements, you must play it a few times to experience the branching elements and optional difficulty settings.;English       languages with full audio support;Stormlord Games;Stormlord Games LLC;{'currency': 'PLN', 'initial': 1799, 'final': 1799, 'discount_percent': 0};[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 62, 'description': 'Family Sharing'}];[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}];TRUE;{'coming_soon': False, 'date': '2 Sep, 2016'};;;;
86;D: The Game;FALSE;The story begins in 1997. It's the dead of night in the city of Los Angeles, and there has been a mass murder at a general hospital on the outskirts of downtown. The perpetrator is the director of the hospital, Richter Harris. He has shut himself up in the hospital and taken a number of patients as hostages, leaving the police helpless and unable to move in. Richter's only daughter, Laura Harris, after hearing the situation, rushes to Los Angeles from San Francisco, and drives alone to the tragic scene at the hospital ground. Upon entering the hospital Laura finds herself transported to an old mansion, while the disembodied voice of her father pleads with her to leave. Nevertheless she must press forward to save her father and herself.;English;WARP;Nightdive Studios, Throwback Entertainment;{'currency': 'PLN', 'initial': 2199, 'final': 2199, 'discount_percent': 0};[{'id': 2, 'description': 'Single-player'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 62, 'description': 'Family Sharing'}];[{'id': '25', 'description': 'Adventure'}];TRUE;{'coming_soon': False, 'date': '27 Oct, 2016'};;;;{'total': 146}
87;THOTH;FALSE;"&quot;There's a ruthless intelligence at work, a sense that the genre’s rulesets and iconography have been crushed to the size of an atom, to the point of implosion.&quot; -  Rolling Stone    From the creators of the award-winning '140' comes an innovative and intense new entry in the twin-stick shooter genre. Though it’s deeply rooted in the arcade tradition, THOTH also brings something unique to the table. Each stage in the game is specifically designed to require both puzzle solving and finesse to get through. Players constantly need to think about positioning and timing while making sure to both dodge enemies and avoid collisions.  Aesthetically, THOTH is a vibrant rush of colors, shapes, and patterns accompanied by a brutal soundtrack by electronic music pioneers Cristian Vogel &amp; SØS Gunver Ryberg. The imposing aesthetics and the relentlessly demanding gameplay eventually induces a trance-like state in the player.  The game is independently designed by Jeppe Carlsen, former lead gameplay designer at Playdead.";English   , French   , Italian   , German   , Spanish - Spain   , Arabic   , Bulgarian   , Czech   , Danish   , Dutch   , Finnish   , Greek   , Hungarian   , Japanese   , Korean   , Norwegian   , Polish   , Portuguese - Portugal   , Portuguese - Brazil   , Romanian   , Russian   , Simplified Chinese   , Swedish   , Thai   , Traditional Chinese   , Turkish   , Ukrainian       languages with full audio support;Carlsen Games;Double Fine Presents;{'currency': 'PLN', 'initial': 2299, 'final': 2299, 'discount_percent': 0};[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 39, 'description': 'Shared/Split Screen Co-op'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 23, 'description': 'Steam Cloud'}, {'id': 44, 'description': 'Remote Play Together'}, {'id': 62, 'description': 'Family Sharing'}];[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}];TRUE;{'coming_soon': False, 'date': '7 Oct, 2016'};full;[667860];;{'total': 207}
